ime,leto,odstotek,stevilo_ocen,cena,razvijalec,izdajatelj,RAM,prostor
100% Orange Juice.html,2013,94,5921,6.99,Orange_Juice,Fruitbat Factory,1024,1024
12 is Better Than 6.html,2015,83,1834,6.99,Ink Stains Games,HypeTrain Digital,2048,300
20XX.html,2017,93,2149,14.99,Batterystaple Games,Batterystaple Games,1024,1024
60 Seconds!.html,2015,77,5385,9.99,Robot Gentleman,Robot Gentleman,4096,3072
8-Bit Armies.html,2016,80,1340,4.99,Petroglyph,Petroglyph,4096,2048
911 Operator.html,2017,82,3400,14.99,Jutsu Games,Games Operators,1024,500
A Bird Story.html,2014,84,4512,3.99,Freebird Games,Freebird Games,2048,200
A Hat in Time.html,2017,98,6889,27.99,Gears for Breakfast,Gears for Breakfast,4096,5120
A Story About My Uncle.html,2014,92,8982,12.99,Gone North Games,Coffee Stain Publishing,2048,2048
Aberoth.html,2015,60,1175,0,Jarbit,Jarbit,256,200
Absolver.html,2017,66,7312,29.99,Sloclap,Devolver Digital,4096,11264
ABZU.html,2016,92,12182,19.99,Giant Squid,505 Games,4096,6144
Ace Combat Assault Horizon - Enhanced Edition.html,2013,60,2874,19.99,NAMCO,BANDAI NAMCO Entertainment,,
Act of Aggression - Reboot Edition.html,2015,60,1616,29.99,Eugen Systems,Focus Home Interactive,2048,15360
AdVenture Capitalist.html,2015,89,38651,0,Hyper Hippo Games,Hyper Hippo Games,512,60
AdVenture Communist.html,2016,68,3434,0,Hyper Hippo Games,Hyper Hippo Games,512,60
AdventureQuest 3D.html,2016,69,3308,0,"Artix Entertainment, LLC","Artix Entertainment, LLC",1024,500
"Agarest, Generations of War.html",2014,73,1422,14.99,Idea Factory,Ghostlight LTD,1024,5120
Age of Conquest IV.html,2016,78,1402,0,Noble Master LLC,Noble Master LLC,512,256
Age of Empires II HD.html,2013,94,39966,19.99,Skybox Labs,Microsoft Studios,,
"Age of Empires® III, Complete Collection.html",2009,88,11437,36.99,Ensemble Studios,Microsoft Studios,,
"Age of Mythology, Extended Edition.html",2014,84,8128,27.99,SkyBox Labs,Microsoft Studios,1024,3072
Age of Wonders III.html,2014,79,4211,29.99,Triumph Studios,Paradox Interactive,2048,10240
Aim Hero.html,2016,87,2157,4.99,ProGames Studio,ProGames Studio,2048,350
Airport CEO.html,2017,80,1405,15.99,Apoapsis Studios,Apoapsis Studios,2048,2048
"Airships, Conquer the Skies.html",2015,96,1229,14.99,David Stark,David Stark,256,1024
Alan Wake's American Nightmare.html,2012,70,3243,9.99,Remedy Entertainment,Remedy Entertainment,,
Aliens versus Predator Classic 2000.html,2000,86,1378,4.99,Rebellion,Rebellion,,
Aliens vs. Predator™.html,2010,87,6610,14.99,Rebellion,SEGA,,
"Amazing Frog,.html",2014,86,1355,15.99,Fayju,Fayju,4096,1024
American Truck Simulator.html,2016,91,16803,19.99,SCS Software,SCS Software,4096,3072
"Amnesia, A Machine for Pigs.html",2013,65,4100,19.99,The Chinese Room,Frictional Games,2048,5120
"Amnesia, The Dark Descent.html",2010,95,10615,19.99,Frictional Games,Frictional Games,,
"Amnesia™, Memories.html",2015,93,1455,27.99,Idea Factory,Idea Factory International,1024,3072
Among the Sleep - Enhanced Edition.html,2017,86,3263,16.99,Krillbite Studio,Krillbite Studio,2048,2048
"Analogue, A Hate Story.html",2012,94,1432,9.99,Love Conquers All Games,Love Conquers All Games,,
Angels Fall First.html,2015,82,1592,17.99,Strangely Interactive Ltd,Strangely Interactive Ltd,4096,10240
Angels of Death.html,2016,94,1351,9.99,Vaka Game Magazine,Vaka Game Magazine,2048,1024
Angvik.html,2014,89,1111,2.99,Alastair John Jack,Alastair John Jack,,
"Animation Throwdown, The Quest for Cards.html",2017,68,1416,0,Synapse Games,Kongregate,4096,1200
Anno 2070™.html,2011,59,8050,19.99,Blue Byte,Ubisoft,,
Anno 2205™.html,2015,61,2827,39.99,Blue Byte,Ubisoft,4096,35840
Another Adventure.html,2017,91,3967,1.99,ThankCreate Studio,ThankCreate Studio,1024,400
Another World – 20th Anniversary Edition.html,2013,86,1053,9.99,Eric Chahi,The Digital Lounge,,
Apotheon.html,2015,90,1935,14.99,Alientrap,Alientrap,,
Aragami.html,2016,89,2967,19.99,Lince Works,Lince Works,8192,6144
"ARK, Survival Evolved.html",2017,68,151140,59.99,Studio Wildcard,Studio Wildcard,8192,61440
Arma 2.html,2009,83,1767,9.99,Bohemia Interactive,Bohemia Interactive,,
Arma 3.html,2013,89,73195,34.99,Bohemia Interactive,Bohemia Interactive,,
Armello.html,2015,82,5240,19.99,League of Geeks,League of Geeks,2048,4096
"Art of War, Red Tides.html",2016,81,5798,0,Game Science,Game Science,2048,2048
Assassin's Creed 2 Deluxe Edition.html,2010,84,14035,9.99,Ubisoft Montreal,Ubisoft,,
Assassin's Creed® Origins.html,2017,84,27579,59.99,Ubisoft Montreal,Ubisoft,6144,43008
Assassin's Creed® Unity.html,2014,59,14887,29.99,Ubisoft,Ubisoft,6144,51200
"Assassin's Creed™, Director's Cut Edition.html",2008,82,5539,9.99,Ubisoft Montreal,Ubisoft,,
"Assassin’s Creed® Chronicles, China.html",2015,74,1714,9.99,Climax Studios,Ubisoft Entertainment,2048,4096
Assassin’s Creed® III.html,2012,74,9517,19.99,Ubisoft Montreal,Ubisoft,,
Assassin’s Creed® IV Black Flag™.html,2013,87,21769,19.99,Ubisoft Montreal,Ubisoft,2048,30720
Assassin’s Creed® Liberation HD.html,2014,56,1366,19.99,Ubisoft Sofia,Ubisoft,2048,3500
