ime,zanr
100% Orange Juice.html,Indie
100% Orange Juice.html,Strategy
12 is Better Than 6.html,Action
12 is Better Than 6.html,Indie
20XX.html,Action
20XX.html,Indie
60 Seconds!.html,Adventure
60 Seconds!.html,Casual
60 Seconds!.html,Indie
60 Seconds!.html,Simulation
60 Seconds!.html,Strategy
8-Bit Armies.html,Indie
8-Bit Armies.html,Simulation
8-Bit Armies.html,Strategy
911 Operator.html,Casual
911 Operator.html,Indie
911 Operator.html,Simulation
911 Operator.html,Strategy
A Bird Story.html,Adventure
A Bird Story.html,Indie
A Bird Story.html,RPG
A Hat in Time.html,Adventure
A Hat in Time.html,Indie
A Story About My Uncle.html,Adventure
A Story About My Uncle.html,Casual
A Story About My Uncle.html,Indie
Aberoth.html,Action
Aberoth.html,Adventure
Aberoth.html,Free to Play
Aberoth.html,Indie
Aberoth.html,Massively Multiplayer
Aberoth.html,RPG
Absolver.html,Action
Absolver.html,Adventure
Absolver.html,Indie
ABZU.html,Action
ABZU.html,Adventure
ABZU.html,Casual
ABZU.html,Indie
ABZU.html,Simulation
Ace Combat Assault Horizon - Enhanced Edition.html,Action
Ace Combat Assault Horizon - Enhanced Edition.html,Simulation
Act of Aggression - Reboot Edition.html,Strategy
AdVenture Capitalist.html,Casual
AdVenture Capitalist.html,Free to Play
AdVenture Capitalist.html,Indie
AdVenture Communist.html,Casual
AdVenture Communist.html,Free to Play
AdVenture Communist.html,Indie
AdVenture Communist.html,Simulation
AdVenture Communist.html,Strategy
AdVenture Communist.html,Early Access
AdventureQuest 3D.html,Action
AdventureQuest 3D.html,Adventure
AdventureQuest 3D.html,Free to Play
AdventureQuest 3D.html,Indie
AdventureQuest 3D.html,Massively Multiplayer
AdventureQuest 3D.html,RPG
AdventureQuest 3D.html,Early Access
"Agarest, Generations of War.html",Adventure
"Agarest, Generations of War.html",RPG
"Agarest, Generations of War.html",Strategy
Age of Conquest IV.html,Free to Play
Age of Conquest IV.html,Indie
Age of Conquest IV.html,Strategy
Age of Empires II HD.html,Strategy
"Age of Empires® III, Complete Collection.html",Simulation
"Age of Empires® III, Complete Collection.html",Strategy
"Age of Mythology, Extended Edition.html",Simulation
"Age of Mythology, Extended Edition.html",Strategy
Age of Wonders III.html,RPG
Age of Wonders III.html,Strategy
Aim Hero.html,Action
Aim Hero.html,Early Access
Airport CEO.html,Indie
Airport CEO.html,Simulation
Airport CEO.html,Strategy
Airport CEO.html,Early Access
"Airships, Conquer the Skies.html",Action
"Airships, Conquer the Skies.html",Indie
"Airships, Conquer the Skies.html",Strategy
"Airships, Conquer the Skies.html",Early Access
Alan Wake's American Nightmare.html,Action
Alan Wake's American Nightmare.html,Adventure
Aliens versus Predator Classic 2000.html,Action
Aliens vs. Predator™.html,Action
"Amazing Frog,.html",Adventure
"Amazing Frog,.html",Indie
"Amazing Frog,.html",Early Access
American Truck Simulator.html,Indie
American Truck Simulator.html,Simulation
"Amnesia, A Machine for Pigs.html",Action
"Amnesia, A Machine for Pigs.html",Adventure
"Amnesia, A Machine for Pigs.html",Indie
"Amnesia, The Dark Descent.html",Action
"Amnesia, The Dark Descent.html",Adventure
"Amnesia, The Dark Descent.html",Indie
"Amnesia™, Memories.html",Adventure
Among the Sleep - Enhanced Edition.html,Action
Among the Sleep - Enhanced Edition.html,Adventure
Among the Sleep - Enhanced Edition.html,Indie
"Analogue, A Hate Story.html",Indie
Angels Fall First.html,Action
Angels Fall First.html,Simulation
Angels Fall First.html,Early Access
Angels of Death.html,Adventure
Angels of Death.html,Indie
Angels of Death.html,RPG
Angvik.html,Action
Angvik.html,Indie
"Animation Throwdown, The Quest for Cards.html",Adventure
"Animation Throwdown, The Quest for Cards.html",Free to Play
